Course Name,Madgrades Link,Course Code,Average GPA
Varsity Band,https://madgrades.com/courses/e72b36f3-cf58-36c9-950d-4ba4be613c1f,MUSIC 42,3.988
General Geology,https://madgrades.com/courses/532d3503-6a9e-3440-baa7-1d29295413d4,GEOLOGY 100,3.173
How People Learn,https://madgrades.com/courses/41c32eef-d204-3353-af3b-6773c689d03c,ED PSYCH 301,3.714
Basic Statistics for Psychology,https://madgrades.com/courses/0254668f-3a95-3c64-8c43-8031b6aa4738,PSYCH 210,2.742
Elementary Matrix and Linear Algebra,https://madgrades.com/courses/8ca4cb82-0242-32e6-8206-b1f99ae17e84,MATH 340,2.918
Special Topics,https://madgrades.com/courses/4590d10f-d7d6-333c-8b79-44ce35b33051,HDFS / CSCS / CNSR SCI / DS / INTER-HE 501,3.759
The Real Estate Process,https://madgrades.com/courses/e04d246d-fd86-3a25-b306-95c873eea5f2,A A E / REAL EST / ECON / URB R PL 306,3.177
Biology of Microorganisms,https://madgrades.com/courses/1a026ac7-b8ab-3432-877a-b1b206b69429,MICROBIO 303,2.994
University Band,https://madgrades.com/courses/1b2b661b-c246-31cc-be63-6a69751e5f78,MUSIC 43,3.978
Introduction to the Earth System,https://madgrades.com/courses/d8911e1b-74e3-3b30-806e-67299b0b910a,ENVIR ST / GEOG 120,2.987
Introduction to International Relations,https://madgrades.com/courses/1fbeb32c-c731-3a82-8c0f-5be13243bec3,POLI SCI 103,3.010
General Anthropology,https://madgrades.com/courses/ea34aff5-2ce6-3697-b52c-060119599aab,ANTHRO 100,2.813
Machine Organization and Programming,https://madgrades.com/courses/cb48129f-99e6-36fa-9a20-46e0617e2499,COMP SCI / E C E 354,3.087
Introduction to Discrete Mathematics,https://madgrades.com/courses/60bf2c49-51e0-3f19-b9a5-04c55dbd3a7c,COMP SCI / MATH 240,3.059
Criminal Justice in America,https://madgrades.com/courses/b64a994b-9056-309a-926d-0c4ba341bbc6,LEGAL ST / SOC 131,2.988
General Physics,https://madgrades.com/courses/85e3e255-5bad-36de-b289-e5d9a7ef8a92,PHYSICS 201,2.914
Marriage and Family,https://madgrades.com/courses/31025502-ca25-3739-bf0a-e1b794cea5b9,SOC 120,3.250
Black Music and American Cultural History,https://madgrades.com/courses/accc8a19-e959-3078-b88c-fd51a8b0b9ff,AFROAMER 156,3.727
Physics in the Arts,https://madgrades.com/courses/c7c06960-1ff6-3dda-9273-1e03d3dea05b,PHYSICS 109,3.329
Principles of Risk Management,https://madgrades.com/courses/0ebb0273-228a-3431-8cf3-7d0383d26978,R M I 300,3.043
Development from Adolescence to Old Age,https://madgrades.com/courses/dd5eab7e-63e2-3e05-81ed-d00f3f9c506e,HDFS 363,3.487
Algebra and Trigonometry,https://madgrades.com/courses/1a39869e-fbba-365e-9a29-863c3a94c000,MATH 114,2.768
International Business,https://madgrades.com/courses/01b263c7-ecf6-3b4b-bc36-05e9f8eec5d1,INTL BUS 200,3.131
Communication and Human Behavior,https://madgrades.com/courses/22a2fb24-2ad4-3672-9d8b-9091b3e43ce0,COM ARTS 260,3.258
Principles of Genetics,https://madgrades.com/courses/4b9ee329-b384-3a2c-a98d-d18588aedd48,BOTANY / GENETICS / ZOOLOGY 466,2.795
Development of the Young Child,https://madgrades.com/courses/7eb293ac-1a6d-3c5a-9813-e9155007c942,HDFS 362,3.498
Population Problems,https://madgrades.com/courses/23f236ff-9bc6-3d79-bfda-bf527c8f3757,SOC 170,3.427
Survey of Contemporary Media,https://madgrades.com/courses/4cadcef2-9447-37a3-a232-04d07c3c2033,COM ARTS 250,3.139
Human Language,https://madgrades.com/courses/18cc3522-e0e4-3626-a3e4-cd4fa3d1ab1a,LINGUIS 101,3.327
Financial Reporting I,https://madgrades.com/courses/c7084028-4fc5-383d-b6cc-d9612a157ede,ACCT I S 301,3.263
Health Care Systems: Interdisciplinary Approach,https://madgrades.com/courses/e6697792-07c1-31ac-ba5b-ef530e842d13,NURSING / S&A PHM / SOC WORK / THER SCI 105,3.812
General Physics,https://madgrades.com/courses/97a4c5b6-5cf9-3723-9097-1a5f034c5ab3,PHYSICS 207,3.068
The African Storyteller,https://madgrades.com/courses/87e00cc9-83f8-31c7-9fda-8860016e9a0e,AFRICAN / FOLKLORE 210,3.198
Statistics: Measurement in Economics,https://madgrades.com/courses/0197f3d8-785d-3a4e-a93b-06e34105c951,ECON 310,3.017
Introductory Ethics,https://madgrades.com/courses/298ec62a-b59f-332b-979d-80ded6260e55,PHILOS 241,3.431
Human Development in Infancy and Childhood,https://madgrades.com/courses/b34eccf6-513b-31b2-a766-2e4611046a3d,ED PSYCH 320,3.522
Programming I,https://madgrades.com/courses/3795cfcc-807e-3ca7-8348-d4a909a42f06,COMP SCI 200,3.148
General Physics,https://madgrades.com/courses/3c1a4a17-8e45-37ac-aad7-ba4f81b63160,PHYSICS 208,3.107
Human Anatomy,https://madgrades.com/courses/0ac00e40-22ac-3c5e-a6b5-c92db215f1ec,ANATOMY / KINES 328,3.090
Programming II,https://madgrades.com/courses/07eabcce-fdab-3781-99ca-7dc2dc3544ae,COMP SCI 300,3.280
Calculus with Algebra and Trigonometry I,https://madgrades.com/courses/fafdfd24-7627-3283-8faf-9ff3835d8d77,MATH 171,2.773
Individuals with Disabilities,https://madgrades.com/courses/f40c089c-5c17-3236-bc9e-d8516618104c,RP & SE 300,3.847
Accounting Principles,https://madgrades.com/courses/47a7e6e7-c3a0-3a52-a0e5-b5accd122c40,ACCT I S 300,3.222
