Course Name,Madgrades Link,Course Code,Average GPA
Business Statistics,https://madgrades.com/courses/71f16d37-c921-30ab-ba23-f0ebdf5cba0e,GEN BUS 303,3.021
Circuit Analysis,https://madgrades.com/courses/25626680-1fae-366b-bc0c-d04cdbfb6c5d,E C E 230,3.023
World Regions in Global Context,https://madgrades.com/courses/af26c26d-8b11-3108-ae10-decf59cd31a3,GEOG 340,3.266
Introduction to the Field of Social Work,https://madgrades.com/courses/f060027d-19e7-3c59-a6dd-b099d769d379,SOC WORK 205,3.497
"Western Culture: Science, Technology, Philosophy I",https://madgrades.com/courses/c4859c34-9e75-3d00-b9df-4146920b2cff,ILS 201,3.348
Informational Divides and Differences in a Multicultural Society,https://madgrades.com/courses/75bf5cfa-dca0-313e-8695-a50d8c152651,L I S 202,3.701
Introduction to Entrepreneurial Management,https://madgrades.com/courses/030ef528-8b59-3fb0-a626-936919ae4373,M H R 322,3.364
The Musical Experience,https://madgrades.com/courses/98e12aa2-e785-39de-bcbb-f89bf10e14ac,MUSIC 101,3.435
Introductory Econometrics,https://madgrades.com/courses/4af9b370-7f8a-37bc-a969-a17a598cf21f,ECON 410,3.033
Environmental Studies: The Humanistic Perspective,https://madgrades.com/courses/6308e0a4-db4b-3a9e-90c7-6d23e8f6a267,ENVIR ST 113,3.517
The Legendary Performers,https://madgrades.com/courses/2674803c-867f-37a2-bad3-1ae4b8b81a7a,MUSIC 206,3.615
Design of Machine Elements,https://madgrades.com/courses/7fbd9877-33a0-3897-9bb7-a23d87fb7c08,M E 342,3.137
Learning a Statistical Language,https://madgrades.com/courses/3c744fd3-c4f8-36f1-a3e9-4d6d2ea25779,STAT 327,3.607
Contemporary Topics,https://madgrades.com/courses/2eafe9a6-8a4b-3c84-841b-8df193fbd0f3,INTL BUS / M H R 365,3.807
Europe and the Modern World 1815 to the Present,https://madgrades.com/courses/c83844ea-a782-313d-97b3-c262565b693d,HISTORY 120,3.269
Marketing Strategy,https://madgrades.com/courses/d514eef5-d380-3f4b-9bfa-41bf0005e1df,MARKETNG 460,3.458
Media and Human Behavior,https://madgrades.com/courses/77ce7138-b56c-3a0b-b5b6-16ed8e56b63b,COM ARTS 325,3.087
Introductory Social Psychology,https://madgrades.com/courses/c3e33a28-4dd4-3572-bc99-22ee07478b06,PSYCH / SOC 530,3.042
Videogames & Learning,https://madgrades.com/courses/22ab6f7d-3b3b-32ce-b1a4-e47b51142d2d,CURRIC 277,3.821
Manufacturing Processes,https://madgrades.com/courses/5d3b20e0-0e0a-3a2c-9846-09123c81ff80,M E 313,3.320
Human Anatomy,https://madgrades.com/courses/c39f46c8-c785-3300-9616-5509ade31e90,ANAT&PHY 337,3.062
Business Strategy,https://madgrades.com/courses/7db12df9-e931-3a40-9e7f-86f84af4336a,M H R 723,3.672
Our Exploration of the Solar System,https://madgrades.com/courses/f6581d3b-e623-3712-9d73-efa2351cf978,ASTRON 104,3.157
Introduction to Kinesiology,https://madgrades.com/courses/e9986ceb-61a3-3050-b925-520b4b998cbc,KINES 119,3.689
Analysis I,https://madgrades.com/courses/35fb5848-4940-30a0-828f-c89dadf78699,MATH 521,3.081
Abnormal Psychology,https://madgrades.com/courses/17446d6b-c24d-31b9-bd01-b4a2ce8b44f2,PSYCH 405,3.185
Geometric Modeling for Engineering Applications,https://madgrades.com/courses/e2869646-9360-3378-a876-2001a0342904,M E 331,3.182
Environmental Economics,https://madgrades.com/courses/bf4a19d4-f454-3005-a7e0-01077ec9ea9a,A A E / ECON / ENVIR ST 343,2.976
Introductory Experience in Electrical Engineering,https://madgrades.com/courses/e5e0f189-efd0-32af-92c4-7b483e8cc79b,E C E 210,3.976
Evolutionary Biology,https://madgrades.com/courses/d7fd457f-b1e4-3d27-86ab-612557131365,ANTHRO / BOTANY / ZOOLOGY 410,3.044
Cognitive Psychology,https://madgrades.com/courses/57c797c1-72e7-3be2-b5fd-2fb8c17c3441,PSYCH 414,3.017
International Trade and Finance,https://madgrades.com/courses/5f110843-3b65-33b5-93b9-a62547ef5760,ECON 464,2.998
Introduction to Digital Forms,https://madgrades.com/courses/285f8ac5-5681-3218-ae4a-529aa0ce1480,ART 107,3.805
Engineering Measurements and Instrumentation,https://madgrades.com/courses/a9f882cf-89c5-3794-b754-49c8d33bc7c4,M E 368,3.159
Survey of Pharmacology,https://madgrades.com/courses/dd785179-89db-3f54-ac5b-6251584e0f6f,PHM SCI 401,3.378
Retail Leadership Symposium,https://madgrades.com/courses/fe2a890e-63f7-3276-bd57-bf5c94163b81,CNSR SCI 250,3.798
Manufacturing Fundamentals,https://madgrades.com/courses/f8d1791e-05ae-3666-8ebd-f4992dcdd2b8,M E 314,3.189
General Ecology,https://madgrades.com/courses/1ab6302b-4f38-370d-a55c-2411f5dcd1ef,BOTANY / F&W ECOL / ZOOLOGY 460,3.126
Basic Concepts of Music Theory,https://madgrades.com/courses/2110bfd4-51be-3d52-adba-809b212d7956,MUSIC 151,3.541
Introduction to Financial Management,https://madgrades.com/courses/e8cfabc9-788a-366b-8372-40d75b473f22,FINANCE 700,3.609
Introduction to the City,https://madgrades.com/courses/e6c9b4eb-70c6-3f4c-838f-ea56685e38ab,GEOG / URB R PL 305,3.500
Weather and Climate,https://madgrades.com/courses/3a328245-8903-3711-84c0-8ff307aaf84a,ATM OCN 101,3.164
Introduction to American Indian Studies,https://madgrades.com/courses/e041d2a2-0411-39a6-9c44-ad379ca2ed3d,AMER IND 100,3.626
Asian American History: Movement and Dislocation,https://madgrades.com/courses/c97d6f56-893b-3c0d-9401-0e320d93dc06,ASIAN AM / HISTORY 160,3.655
Classical Sociological Theory,https://madgrades.com/courses/1907f769-ba44-38a3-aeec-a080b9e6315c,RUR SOC / SOC 475,3.179
Western Culture: Literature and the Arts I,https://madgrades.com/courses/e621a861-44e2-32af-8ca1-7460724521b7,ILS 203,3.475
Financial Accounting,https://madgrades.com/courses/3a4f8b6c-ea55-3c68-ac18-9f7aa5599aa5,ACCT I S 700,3.648
"Introduction to Lesbian, Gay, Bisexual, Transgender and Queer+ Studies",https://madgrades.com/courses/05c282a6-3fdd-3c17-8853-64555c2c677e,INTER-LS / SOC / WOMEN ST 200,3.264
Great Speakers and Speeches,https://madgrades.com/courses/19a59377-7b69-3a7c-93df-8cf863f582e6,COM ARTS 370,3.162
Fundamentals of Analytical Science,https://madgrades.com/courses/5ef8c8ee-e7b6-3157-b60d-feb636d2909e,CHEM 327,3.070
Accounting Systems,https://madgrades.com/courses/2408a326-2a79-30da-821b-1b91db54b902,ACCT I S 340,3.325
Critical Internet Studies,https://madgrades.com/courses/d51cb702-1801-381e-973c-d89f07cfc4d7,COM ARTS 346,3.207
L&S Career Development: Taking Initiative,https://madgrades.com/courses/38c158d8-ee0a-33f9-9e9f-fc29c33614e4,INTER-LS 210,3.780
Principles and Practice of Strategic Communication,https://madgrades.com/courses/08221bc6-7f5e-3383-8dd9-6f83ed8ea11e,JOURN 345,3.787
Introduction to Digital Media Production,https://madgrades.com/courses/d0dd4811-5b49-3a87-bd8f-3d3a85d49ed5,COM ARTS 155,3.720
How to Succeed in College,https://madgrades.com/courses/fd84c196-2ef8-3d0b-b385-1f66158591d5,INTER-LS 145,3.904
Energy Systems Laboratory,https://madgrades.com/courses/8fc945a1-c6cc-3b21-9d5a-f7ecab4b1b16,M E 370,3.037
Urban and Regional Economics,https://madgrades.com/courses/85d76a6d-14ae-39a4-bca1-bde90c3fae1b,REAL EST / ECON / URB R PL 420,3.368
Statistics for Sociologists I,https://madgrades.com/courses/9d618d1e-49a8-3b90-b25e-dfe560ee6758,RUR SOC / SOC 360,3.095
Theory and Practice in Interviewing,https://madgrades.com/courses/5c1a4b23-4187-3c25-b350-8d1d15286c2d,COUN PSY 650,3.785
Design: Fundamentals I,https://madgrades.com/courses/78f3d458-d793-3edb-a55b-e1afcd757b4d,DS 120,3.307
Workshop in Dance Activity,https://madgrades.com/courses/8f63bde1-ff7f-3fe7-9901-862908bf134c,DANCE 1,3.812
Europe,https://madgrades.com/courses/5035b445-ed33-3b1b-b7af-4efa203f3534,GEOG 349,3.356
Quantitative Reasoning and Problem Solving,https://madgrades.com/courses/1f40fff8-f338-37bd-8b0b-8fc2afd32873,MATH 141,3.023
Introduction to Social Policy,https://madgrades.com/courses/58cfe82e-56e9-303d-b7d6-0740b3af69bd,SOC WORK 206,3.285
Child Development,https://madgrades.com/courses/203a3f2f-c7bd-3408-80ef-2d263484adb3,PSYCH 460,3.196
Speech Science,https://madgrades.com/courses/51d6022e-81b3-3779-940e-0c53d359768b,COM DIS 201,3.258
Marketing Management,https://madgrades.com/courses/fd66719d-0f6b-3ca0-b668-eb63bd3ff90d,MARKETNG 700,3.535
Forum on the Environment,https://madgrades.com/courses/2793e95d-5ba2-3de7-95b0-3e5e024be5f0,ENVIR ST / SOIL SCI 101,3.825
Limnology-Conservation of Aquatic Resources,https://madgrades.com/courses/9c04c8b5-6d06-3669-aa5c-febecfa49e41,ENVIR ST / ZOOLOGY 315,2.933
Design Practicum,https://madgrades.com/courses/3d72a334-8c77-374f-910b-f481edc16ebd,INTEREGR 170,3.842
Consumer Behavior,https://madgrades.com/courses/891d732c-90dc-3086-a7ab-a9ba2a114a12,CNSR SCI 657,3.500
Social Work with Ethnic and Racial Groups,https://madgrades.com/courses/5c8ca81c-79e9-34da-b977-216027e8290d,SOC WORK 640,3.747
Pharmacology I,https://madgrades.com/courses/9cda1e49-170b-396d-a822-317ea272ae5a,PHM SCI / PHMCOL-M 521,3.310
Audit and Assurance Services,https://madgrades.com/courses/c644e9d4-2b19-3497-a337-fac2e10a9ecc,ACCT I S 630,3.399
Introduction to Theory and Methods of Mathematical Statistics II,https://madgrades.com/courses/6ccdb5e8-1392-398f-bb61-fbd15a908331,STAT 312,3.376
Ballroom Dance I,https://madgrades.com/courses/d07193c1-551e-3c4d-82cd-7059fc2cd512,DANCE 2,3.825
Circuits Laboratory I,https://madgrades.com/courses/a973be75-0ded-34fd-b898-07d40f88b702,E C E 270,3.683
Normal Aspects of Hearing,https://madgrades.com/courses/08990c66-3260-37e8-9852-e1eb7e395989,COM DIS 202,3.436
Strategies for Inclusive Schooling,https://madgrades.com/courses/1beadc0b-1044-3ef0-8b89-dc1ee67beb07,RP & SE / CURRIC 506,3.924
Physical Chemistry,https://madgrades.com/courses/8c2e9e80-dacf-391f-b0a8-955344aeead3,CHEM 562,3.016
Environmental Engineering,https://madgrades.com/courses/2dd6cd30-3ea5-3f26-b169-b5a2a1737723,CIV ENGR 320,3.126
Introduction to Afro-American History,https://madgrades.com/courses/888ffbb6-90b1-33d9-a0bd-31b495456a70,AFROAMER 231,3.492
Introduction to International Relations,https://madgrades.com/courses/e9a1a67b-6f2a-3270-9c24-b254d913f32c,POLI SCI 140,3.279
Cell Biology,https://madgrades.com/courses/f4c96220-8b0a-3955-9cca-afe603f3e6bc,ZOOLOGY 570,3.094
The Sociological Enterprise,https://madgrades.com/courses/811ea0a7-2113-31ab-bf43-7a52fb2d194a,RUR SOC / SOC 211,3.333
Behavioral Neuroscience,https://madgrades.com/courses/4d8cc20d-f4b9-3edc-bf58-c09b767911ec,PSYCH 454,3.303
Law and Economics,https://madgrades.com/courses/b38189f4-90e4-3ed1-9b6a-53281aac5dd5,ECON 522,3.078
Ballroom Dancing,https://madgrades.com/courses/e527d008-20d0-3cc2-9fbf-72d4d856ffd5,DANCE 41,3.827
Coming to Terms with Cultural Diversity: Invitation to Dialogue,https://madgrades.com/courses/305fd773-148c-376e-8b60-4a94c51a7181,COUN PSY 225,3.827
American Environmental History,https://madgrades.com/courses/e6eb5c61-78ee-3263-847e-bafcbf4a92b6,ENVIR ST / GEOG / HISTORY 460,3.470
Introduction to Community and Environmental Sociology,https://madgrades.com/courses/a16f94a4-2f82-3b25-89ff-d480e62646ba,RUR SOC / SOC 140,3.430
Foundations of Contemporary Art,https://madgrades.com/courses/e476fc43-2f00-3b4d-b105-c6105285dc23,ART 108,3.471
Intermediate Business Statistics,https://madgrades.com/courses/49e9f237-da74-3525-ad32-10a184de81d2,GEN BUS 304,3.385
Electronic Circuits I,https://madgrades.com/courses/048743ba-9026-3ae5-b993-fd49b3b2d5f5,E C E 340,3.163
Renewable Energy Systems,https://madgrades.com/courses/b14ee638-e532-3821-9e1c-858aaa9aba70,BSE / ENVIR ST 367,3.336
Cost Management Systems.,https://madgrades.com/courses/f4810a5e-09c6-39d0-9889-24f8233c161f,ACCT I S 310,3.372
General Biochemistry II,https://madgrades.com/courses/2f3229c3-73cb-3333-b684-80497c7b9304,BIOCHEM 508,2.972
Pharmacology III,https://madgrades.com/courses/eb27b22a-558a-3271-bbd8-11d6c1c72f3b,PHM SCI 623,3.620
Introduction to Human Factors,https://madgrades.com/courses/8924122c-6e2a-3b88-b496-da4a6979b629,I SY E / PSYCH 349,3.681
Electrodynamics I,https://madgrades.com/courses/bd66dac9-512f-3fe3-b038-e2a497cbd804,E C E 220,3.152
Hip-Hop and Contemporary American Society,https://madgrades.com/courses/d0e77d47-7ee6-3707-b7e3-8f2058334549,AFROAMER 154,3.821
Biophysical Chemistry,https://madgrades.com/courses/e19dc99a-4a35-38ea-9a7c-349f101fa66b,CHEM 565,3.123
Bank Management,https://madgrades.com/courses/714bb751-2156-3598-a0ae-3021c9e791e6,FINANCE 410,3.394
"Signals, Information, and Computation",https://madgrades.com/courses/e0308318-8e0c-3be6-8333-6fa1d4a4954f,E C E 203,3.283
Economics for Managers,https://madgrades.com/courses/443c95d7-60c9-36f5-b945-920f9780ce45,OTM 732,3.564
Human Anatomy-Kinesiology,https://madgrades.com/courses/d111a94e-2779-31c4-974f-436eac774bdc,ANATOMY / KINES 329,3.580
Critical Thinking and Expression,https://madgrades.com/courses/f6c10eb0-278f-3155-87d1-fd833a0d694a,ILS 200,3.743
Energy,https://madgrades.com/courses/6b4c8f0a-c1a5-381e-b746-14f696ae9f04,PHYSICS 115,3.347
Literature and Popular Culture,https://madgrades.com/courses/085c7b53-4b9a-3891-84ce-0bb24f2f7a06,ENGL 177,3.458
Fluid Mechanics,https://madgrades.com/courses/7f37ed83-b3f7-34c5-8d5f-e84eb1df1226,CIV ENGR 310,2.883
Elementary Organic Chemistry,https://madgrades.com/courses/3a341574-e19b-3abe-a068-8b5b096d45df,CHEM 341,2.775
Introduction to Drug Action and Drug Delivery I,https://madgrades.com/courses/486c3064-a720-31db-8d0c-3d1398b53f3e,PHM SCI 420,3.265
Financial Reporting II,https://madgrades.com/courses/d4243900-ec70-3df3-89ef-67927941b649,ACCT I S 302,3.249
Selected Topics in Political Science,https://madgrades.com/courses/c45dfb6e-e018-3580-9bda-77f20d971e4b,POLI SCI 401,3.413
"Financial Markets, Institutions and Economic Activity",https://madgrades.com/courses/f3463b93-3681-3705-a7e3-38591749b0ed,FINANCE 305,3.253
Ethnic Movements in the United States,https://madgrades.com/courses/929435b0-7647-3b99-acaf-c782b7c9ed9a,ASIAN AM / SOC 220,3.430
Financial Life Skills for Life After Graduation,https://madgrades.com/courses/5d70a0f7-02a1-3fc5-8cdf-56d0e514bb4b,CNSR SCI 321,3.852
Fundamentals of Electrical and Electro-mechanical Power Conversion,https://madgrades.com/courses/5c112376-6c53-3dee-a382-ac34b160f2d0,E C E 377,3.267
Drugs and Their Actions,https://madgrades.com/courses/84f254a0-c8c6-3b3d-81ef-17331bf84571,PHM SCI 310,3.582
Pharmacy in the Health Care System,https://madgrades.com/courses/25600839-a06c-3d73-adc5-8b2cd3860d07,S&A PHM 411,3.523
History of Western Art I: From Pyramids to Cathedrals,https://madgrades.com/courses/8dee753f-25ca-3a83-ad3e-a9de00bb6c53,ART HIST 201,3.094
Introduction to Cryptography,https://madgrades.com/courses/c383953c-7c14-3614-b84e-107441ba5002,COMP SCI / E C E / MATH 435,3.050
British Literature Before 1750,https://madgrades.com/courses/75fb5219-93d0-387f-82bf-9d2d7eba6ef4,ENGLISH 215,3.220
Pharmacotherapy I,https://madgrades.com/courses/746ebadd-4e9b-3206-9a45-1ece9418337f,PHM PRAC 555,3.225
The Making of Modern Europe 1500-1815,https://madgrades.com/courses/7631b299-b467-38d9-8bd5-4b1e6f64b276,HISTORY 119,3.199
Topics in Legal Studies and the Social Sciences,https://madgrades.com/courses/96d03b0c-56c4-33df-8fe9-a335fbb7b1d8,LEGAL ST 400,3.353
Drug Delivery Systems,https://madgrades.com/courses/f93bf158-03b4-3915-a2b9-1e32ecd78def,PHM SCI 540,3.202
The Criminal Mind: Forensic and Psychobiological Perspectives,https://madgrades.com/courses/0d452858-199c-3194-8576-d90fb7f56d19,PSYCH 526,3.670
Comm B Topics in English Literature,https://madgrades.com/courses/5765307b-fc31-39f7-9bbc-bb5e40f0f719,ENGL 140,3.536
Shakespeare,https://madgrades.com/courses/7af45d08-50a2-3629-ae18-aa32aee780f4,ENGL 162,3.684
Introduction to Programming Languages and Compilers,https://madgrades.com/courses/ecff4693-50ce-3960-91fe-374a8db40534,COMP SCI 536,3.087
Pharmacotherapy III,https://madgrades.com/courses/8576e136-9581-3225-ab5e-992dfabb0442,PHM PRAC 655,3.232
American Literature,https://madgrades.com/courses/04786a2d-c8ba-380c-ad3b-e22f907f1a3b,ENGLISH 217,3.316
"Issues in Agriculture, Environment, and Life Sciences",https://madgrades.com/courses/68755eb2-e39c-3f57-b2bd-5ae77c1fdaa1,INTER-AG 155,3.851
Pharmacology II,https://madgrades.com/courses/f439dd41-e0c2-3457-ab8d-85edd1c4562a,PHM SCI / PHMCOL-M 522,3.469
Science of Food,https://madgrades.com/courses/b3b9835b-f232-3305-a398-d167e0952350,FOOD SCI 120,3.097
Medicinal Chemistry I,https://madgrades.com/courses/b68835fe-a843-312a-9798-b92c8e8570cb,PHM SCI 531,3.297
Pharmaceutical Biochemistry,https://madgrades.com/courses/c75887e7-e9bd-342d-86c3-e2c583af521a,PHM SCI 432,3.434
Fundamentals of Taxation,https://madgrades.com/courses/bb0cd92c-bfc6-3217-82fb-f8682e2585b6,ACCT I S 620,3.275
"Pharmaceutical Calculations, Dispensing and Compounding",https://madgrades.com/courses/44a18a2a-bed3-35e4-bf5b-e6963bf5eb63,PHM SCI 541,3.513
Statistical Methods for Bioscience I,https://madgrades.com/courses/ffb82e09-6816-3a8e-9345-8e59f9f05d05,F&W ECOL / HORT / STAT 571,3.501
British&Anglo Lit 1750-Present,https://madgrades.com/courses/438628b2-f309-300a-8e8c-d11196a60b2a,ENGLISH 216,3.302
"Living with Wildlife - Animals, Habitats, and Human Interactions",https://madgrades.com/courses/f8f38e0d-bb59-3816-b80f-3d55d9e8401f,F&W ECOL 110,3.028
The Theory of Single Variable Calculus,https://madgrades.com/courses/228a9afa-e891-3f78-9ca2-b640cb1a13cd,MATH 421,3.112
Shakespeare,https://madgrades.com/courses/7a5f33cb-37ba-306d-aa7b-8e0cb345d9a4,ENGLISH 162,3.321
Computer Graphics,https://madgrades.com/courses/323b9c99-a1d7-37d7-a524-7ad3d318b85d,COMP SCI 559,3.231
Drug Delivery Systems Laboratory II,https://madgrades.com/courses/cd72adb7-b411-311e-9016-6641f504962a,PHM SCI 542,3.713
Introduction to Pharmacy Practice Experience IV,https://madgrades.com/courses/1e3dffb1-95bc-3843-8352-b053e04bf859,PHM PRAC 526,3.937
Introductory Transport Phenomena,https://madgrades.com/courses/22e9c713-2ec5-3366-9ec2-1d28d33894f5,B M E / CBE 320,3.020
Real Estate Finance,https://madgrades.com/courses/3d8edb04-6641-39a9-b18f-ea019c0a21bd,REAL EST 410,3.275
Pilates Mat I,https://madgrades.com/courses/d4344bcd-4f31-36e7-8c69-1d6a7d015a93,DANCE 135,3.752
Business Organizations and Negotiable Instruments,https://madgrades.com/courses/17c4fa39-a9ae-3670-96f1-7da67598adee,GEN BUS 302,3.494
Masterpieces of African American Literature,https://madgrades.com/courses/ffad6cc2-f3da-382a-bfa4-3fd938272e91,AFROAMER 227,3.429
Negotiations,https://madgrades.com/courses/9269c33f-4f2a-3146-b791-cbac0130b094,M H R 628,3.751
Analytical Methods for Electromagnetics Engineering,https://madgrades.com/courses/ad96c625-c342-32d3-aaa4-87503b2d0fb4,E C E 219,3.801
Intro to Global Cultures,https://madgrades.com/courses/e5453a5a-b53b-3cb6-8344-9342ea008234,ILS 209,3.628
Introduction to Probability and Mathematical Statistics I,https://madgrades.com/courses/2eacb08c-4327-3ff0-aa76-deb43ec562c4,MATH / STAT 309,3.204
Signals and Systems,https://madgrades.com/courses/5c428745-18b5-3aeb-894d-2498cfd004ce,E C E 330,3.164
Introduction to Biopharmaceutics and Pharmacokinetics,https://madgrades.com/courses/8fd3a5a2-f236-3b9a-8020-469e095b14cf,PHM SCI 421,3.047
Parasitology,https://madgrades.com/courses/d0e8cce8-e978-337c-9fad-dce77ef5690a,ENTOM / M M & I / PATH-BIO / AHABS / ZOOLOGY 350,2.936
Wages and the Labor Market,https://madgrades.com/courses/f47755b3-61cd-3259-85a2-7f2ca0800082,ECON 450,2.995
Operations Management,https://madgrades.com/courses/13551567-43fa-30a6-9fd5-ab9172dade54,OTM 700,3.565
The Information Society,https://madgrades.com/courses/c9cecd5e-3c4c-37b5-9af5-d128d411b3d3,L I S 201,3.660
Biochemical Principles of Human and Animal Nutrition,https://madgrades.com/courses/2cfd13dd-a318-3355-8ee7-cd30aab67353,BIOCHEM / NUTR SCI 510,3.300
Financial Statement Analysis,https://madgrades.com/courses/f6347d40-e926-3e2a-97dd-50bdc414a090,ACCT I S 603,3.614
Social and Behavioral Aspects of Pharmacy Practice,https://madgrades.com/courses/5d603e6b-d981-37fc-b368-f941b8e11e1c,S&A PHM 414,3.199
Introduction to Computer Networks,https://madgrades.com/courses/f87b3a9c-34da-3fbf-8621-2a513cb3e4d1,COMP SCI 640,3.342
"Language, Mind, and Brain",https://madgrades.com/courses/ed5f660f-ce90-35e5-bf9d-5a305ca44362,PSYCH 413,3.095
University Symphony Orchestra,https://madgrades.com/courses/4b2dfdea-9718-3990-9e87-6ac1bdae49f2,MUSIC 62,3.988
The Sociology of Gender,https://madgrades.com/courses/d64d9bf9-3d30-337c-aebc-b0798688806a,SOC 138,3.664
Indians of North America,https://madgrades.com/courses/11520809-7c6e-3ecd-a1bb-8e498ea1acaa,AMER IND / ANTHRO 314,2.987
Construction Project Management,https://madgrades.com/courses/682593ff-4b60-3a48-af13-a86f6a70b89b,CIV ENGR 498,3.601
Introduction to Folklore,https://madgrades.com/courses/fdc4d039-699e-341d-89f0-cfef38423325,FOLKLORE 100,3.625
Human Development From Childhood Through Adolescence,https://madgrades.com/courses/d0000ee5-ea75-345e-9777-0d396c3388c6,ED PSYCH 331,3.617
Neural Basis of Communication,https://madgrades.com/courses/8a04fc7f-dcfa-3ee6-ad9e-62b8163f3db6,COM DIS 210,3.578
Medicinal Chemistry II,https://madgrades.com/courses/9dd43b2e-b264-3c12-af4f-d328c2bc82f9,PHM SCI 532,3.430
Concert Band,https://madgrades.com/courses/6b28c9cc-9542-37c4-aa81-32c213581086,MUSIC 41,3.978
Theory of Interest and Life Insurance,https://madgrades.com/courses/8f6096ee-1c1b-3ab8-9584-daa1022e1bbc,ACT SCI / MATH 303,3.220
"Western Culture: Political, Economic, and Social Thought I",https://madgrades.com/courses/63ff7d4b-57e1-32e9-a951-1f4aef8f9db2,ILS 205,3.208
Energy Resources,https://madgrades.com/courses/3f1a2473-b3f9-3cc2-9c03-5dc7535e0122,ENVIR ST / GEOLOGY 411,3.425
Introduction to Environmental Health,https://madgrades.com/courses/8cf6ac72-47ff-3a03-8cc3-8b6cc6b72fcc,ENVIR ST / POP HLTH 471,3.576
Air Pollution and Human Health,https://madgrades.com/courses/5002ce42-e789-3631-97bc-11dca56a5673,ENVIR ST / POP HLTH 502,3.594
Introduction to Computer Architecture,https://madgrades.com/courses/d5fe8d3d-c558-3d58-a82f-7956ed122240,COMP SCI / E C E 552,3.295
Genetics in the News,https://madgrades.com/courses/d118f5a0-52e3-31b4-b7a4-b98765b2f827,BOTANY / GENETICS / ZOOLOGY 133,3.544
Pharmacy Practice Experience II,https://madgrades.com/courses/1157ca8c-3ca2-3cb6-aae7-745635c729f7,PHM PRAC 426,3.922
Special Topics,https://madgrades.com/courses/39d63cf0-6b51-37b5-a640-51dc0e1288e7,GENETICS 375,3.946
The Consumer and the Market,https://madgrades.com/courses/deb4294a-17db-3cf9-8c8d-31c43db15ac8,CNSR SCI 477,3.250
SoHE Career & Leadership Development,https://madgrades.com/courses/7ed36516-a41f-33cb-b278-8485f7745da6,INTER-HE 202,3.417
Process Synthesis,https://madgrades.com/courses/825c8160-60f5-3146-bfd9-8a11729f8d2c,CBE 250,2.944
"Law, Politics and Society",https://madgrades.com/courses/7c9e12c7-9f93-3796-b4d6-879aaf7a1a1b,LEGAL ST / POLI SCI 217,3.168
An Introduction to Geographic Information Systems,https://madgrades.com/courses/999e8e2b-dc90-30f9-91c5-ce36ff084988,CIV ENGR / ENVIR ST / GEOG 377,3.266
Entrepreneurial Management,https://madgrades.com/courses/b250378f-f1ea-3442-8f31-ac32b3bcfd50,M H R 422,3.640
"Bodies, Diseases, and Healers: An Introduction to the History of Medicine",https://madgrades.com/courses/f0bc0e1c-bdb7-3b9c-b311-5708e236542b,MED HIST / HIST SCI 212,3.363
The Greeks,https://madgrades.com/courses/90bef5c7-eeab-36d7-b229-87793bd6a725,CLASSICS 320,3.545
Soil Mechanics,https://madgrades.com/courses/033a32d8-f459-3b15-80b4-c0c760d98aad,CIV ENGR / G L E 330,2.947
Valuation of Real Estate,https://madgrades.com/courses/25ebf94b-6bc2-35b8-9f18-a0cd0686d041,REAL EST 415,3.369
Introduction to Combinatorics,https://madgrades.com/courses/4d059bd9-4520-3a4d-9174-e3ad726d085e,COMP SCI / MATH / STAT 475,3.088
Immunology,https://madgrades.com/courses/3619e19f-5a8c-3a7b-b115-1082c9cff032,MICROBIO / M M & I / PATH-BIO / AHABS 528,3.168
History of Mass Communication,https://madgrades.com/courses/ca7d5a0a-bdc7-3b32-857d-b962db63d8ac,HISTORY / JOURN 560,3.198
Pharmacotherapy IV,https://madgrades.com/courses/19bb9d1c-9d1c-3f2e-91f2-4acb70977410,PHM PRAC 656,3.090
Digital System Design and Synthesis,https://madgrades.com/courses/8154ba25-ac4f-372c-bb70-fb21d20fa965,E C E 551,3.298
Topics in Asian American Studies,https://madgrades.com/courses/11ff96e1-3465-3f63-89f9-0e62357aa798,ASIAN AM 240,3.649
Introduction to Animal Sciences,https://madgrades.com/courses/d71545a3-0158-3fe3-89e5-8b7fe2670c7b,DY SCI / AN SCI 101,3.281
Life in the Universe,https://madgrades.com/courses/1dc216c1-a170-35d1-aa67-215b127d3468,ASTRON / GEOLOGY 160,2.886
Drug Literature Evaluation,https://madgrades.com/courses/a56b2b63-9f01-3ffd-a6d4-6ba3c2bb0f5b,PHM PRAC 570,3.488
Pharmacist Communication: Educational and Behavioral Interventions,https://madgrades.com/courses/9e7f1630-2f00-304f-9c58-2231e079b0be,S&A PHM 652,3.813
Pharmacotherapy II,https://madgrades.com/courses/c7f08d16-8313-3da2-ade2-aa35b3e10482,PHM PRAC 556,3.189
Essentials of Gerontological Nursing,https://madgrades.com/courses/fd28f0dc-bad1-3ffd-8511-032c4e790979,NURSING 433,3.766
Introductory Pharmacy Practice Experience VI,https://madgrades.com/courses/c8e73580-ce7c-3d6b-a015-b78b7274da05,PHM PRAC 626,3.913
Advanced Concepts in Nursing Practice,https://madgrades.com/courses/8b56faa3-139c-3634-8153-b13d489b4296,NURSING 422,3.428
Issues in Psychology,https://madgrades.com/courses/c31dfc75-c018-3f26-b588-b59c09bc5a57,PSYCH 311,3.697
Intro-Brit & Amer Lit pre-1914,https://madgrades.com/courses/c1996f7e-5c26-3434-8580-2e500a941e7f,ENGLISH 167,3.271
